0,0.015,0.013
5000,0.02,0.642
10000,0.036,1.118
15000,0.021,2.061
20000,0.021,2.211
25000,0.024,2.636
30000,0.031,3.043
35000,0.028,2.834
40000,0.022,4.398
45000,0.031,5.561
50000,0.023,5.745
55000,0.023,7.499
60000,0.042,6.586
65000,0.029,5.566
70000,0.042,8.418
75000,0.022,9.15
80000,0.057,8.738
85000,0.025,12.141
90000,0.042,10.207
95000,0.036,13.589
100000,0.03,11.716
105000,0.026,9.899
110000,0.027,12.699
115000,0.029,14.325
120000,0.025,13.656
125000,0.029,9.912
130000,0.029,11.421
135000,0.031,11.667
140000,0.024,2.338
145000,0.04,17.279
150000,0.036,17.28
155000,0.042,21.025
160000,0.032,22.35
165000,0.06,23.129
170000,0.06,20.828
175000,0.036,23.952
180000,0.028,23.064
185000,0.028,23.582
190000,0.044,26.429
195000,0.04,20.464
200000,0.036,23.942
205000,0.042,23.179
210000,0.038,23.107
215000,0.037,26.083
220000,0.045,28.098
225000,0.058,27.147
230000,0.023,18.104
235000,0.064,18.042
240000,0.116,20.075
245000,0.028,22.395
250000,0.029,29.585
255000,0.06,30.992
260000,0.026,30.909
265000,0.028,32.915
270000,0.029,33.062
275000,0.029,35.836
280000,0.034,32.939
285000,0.029,37.537
290000,0.039,35.64
295000,0.037,34.011
300000,0.024,34.963
305000,0.026,36.785
310000,0.075,29.83
315000,0.035,29.59
320000,0.049,28.834
325000,0.039,30.574
330000,0.027,33.671
335000,0.028,39.042
340000,0.07,40.044
345000,0.04,41.15
350000,0.035,41.532
355000,0.035,40.799
360000,0.03,40.604
365000,0.03,43.177
370000,0.037,42.731
375000,0.03,51.022
380000,0.025,47.331
385000,0.055,52.675
390000,0.047,46.522
395000,0.025,47.142
400000,0.032,49.233
405000,0.035,47.913
410000,0.037,39.114
415000,0.028,49.363
420000,0.027,51.844
425000,0.023,51.202
430000,0.023,51.699
435000,0.035,51.381
440000,0.029,50.809
445000,0.027,56.27
450000,0.027,58.383
455000,0.032,56.444
460000,0.031,57.37
465000,0.028,58.504
470000,0.043,58.954
475000,0.028,54.725
480000,0.033,56.516
485000,0.039,58.958
490000,0.041,58.705
495000,0.037,58.631
500000,0.07,58.224
505000,0.028,58.945
510000,0.04,59.332
515000,0.033,61.856
520000,0.039,67.747
525000,0.028,65.388
530000,0.04,62.721
535000,0.038,61.492
540000,0.032,63.669
545000,0.033,14.14
550000,0.024,67.858
555000,0.038,66.225
560000,0.035,67.404
565000,0.025,67.829
570000,0.043,69.04
575000,0.028,70.738
580000,0.026,72.273
585000,0.04,77.651
590000,0.039,77.153
595000,0.031,74.59
600000,0.029,74.268
605000,0.025,75.831
610000,0.024,77.403
615000,0.023,81.56
620000,0.027,80.511
625000,0.029,79.442
630000,0.042,82.828
635000,0.03,86.091
640000,0.03,89.373
645000,0.026,83.866
650000,0.025,84.821
655000,0.034,50.491
660000,0.033,74.641
665000,0.033,60.286
670000,0.035,75.837
675000,0.041,75.378
680000,0.037,79.787
685000,0.044,80.276
690000,0.029,85.076
695000,0.032,86.896
700000,0.025,82.034
705000,0.026,80.843
710000,0.023,81.867
715000,0.027,84.749
720000,0.031,87.27
725000,0.028,82.827
730000,0.043,86.042
735000,0.028,85.504
740000,0.034,93.417
745000,0.028,94.676
750000,0.032,92.057
755000,0.032,90.25
760000,0.033,89.562
765000,0.039,88.472
770000,0.028,94.899
775000,0.028,92.744
780000,0.03,96.604
785000,0.032,105.792
790000,0.035,126.205
795000,0.023,96.648
800000,0.028,97.8
805000,0.025,101.864
810000,0.055,100.768
815000,0.026,103.024
820000,0.026,102.124
825000,0.031,102.006
830000,0.027,118.158
835000,0.024,107.573
840000,0.045,104.537
845000,0.027,108.752
850000,0.028,111.498
855000,0.033,108.396
860000,0.029,136.823
865000,0.033,133.908
870000,0.037,103.862
875000,0.043,103.153
880000,0.039,103.419
885000,0.035,103.153
890000,0.035,105.928
895000,0.039,105.534
900000,0.04,105.393
905000,0.031,106.447
910000,0.039,160.49
915000,0.039,109.878
920000,0.035,113.233
925000,0.032,110.02
930000,0.032,114.203
935000,0.04,110.232
940000,0.03,113.796
945000,0.029,120.161
950000,0.029,119.191
955000,0.115,116.083
960000,0.034,115.96
965000,0.031,119.252
970000,0.09,120.505
975000,0.046,116.805
980000,0.035,133.265
985000,0.026,128.859
990000,0.029,122.034
995000,0.027,123.028
1000000,0.025,124.081
1005000,0.034,132.877
1010000,0.037,131.047
1015000,0.027,135.384
1020000,0.031,134.949
1025000,0.026,130.913
1030000,0.024,129.022
1035000,0.031,133.95
1040000,0.03,134.581
1045000,0.029,133.437
