0,0.267
5000,0.394
10000,0.354
15000,0.354
20000,0.022
25000,0.308
30000,0.311
35000,0.291
40000,0.262
45000,0.33
50000,0.282
55000,0.327
60000,0.298
65000,0.293
70000,0.301
75000,0.397
80000,0.273
85000,0.3
90000,0.358
95000,0.38
100000,0.285
105000,0.305
110000,0.281
115000,0.302
120000,0.626
125000,0.249
130000,0.25
135000,0.016
140000,0.273
145000,0.332
150000,0.321
155000,0.269
160000,0.317
165000,0.306
170000,0.275
175000,0.268
180000,0.27
185000,0.375
190000,0.52
195000,0.321
200000,0.338
205000,0.35
210000,0.276
215000,0.319
220000,0.33
225000,0.448
230000,0.306
235000,0.33
240000,0.249
245000,0.247
250000,0.282
255000,0.254
260000,0.325
265000,0.288
270000,0.288
275000,0.306
280000,0.242
285000,0.319
290000,0.312
295000,0.258
300000,0.26
305000,0.297
310000,0.336
315000,0.553
320000,0.218
325000,0.206
330000,0.223
335000,0.214
340000,0.251
345000,0.24
350000,0.209
355000,0.223
360000,0.211
365000,0.242
370000,0.204
375000,0.324
380000,0.709
385000,0.305
390000,0.231
395000,0.205
400000,0.207
405000,0.204
410000,0.206
415000,0.194
420000,0.196
425000,0.198
430000,0.203
435000,0.216
440000,0.193
445000,0.198
450000,0.252
455000,0.246
460000,0.245
465000,0.193
470000,0.241
475000,0.191
480000,0.187
485000,0.188
490000,0.188
495000,0.169
500000,0.178
505000,0.171
510000,0.174
515000,0.178
520000,0.176
525000,0.16
530000,0.168
535000,0.175
540000,0.161
545000,0.337
550000,0.168
555000,0.254
560000,0.161
565000,0.16
570000,0.153
575000,0.185
580000,0.229
585000,0.226
590000,0.189
595000,0.195
600000,0.153
605000,0.141
610000,0.205
615000,0.141
620000,0.135
625000,0.135
630000,0.394
635000,0.142
640000,0.128
645000,0.186
650000,0.135
655000,0.151
660000,0.129
665000,0.123
670000,0.118
675000,0.138
680000,0.13
685000,0.115
690000,0.116
695000,0.156
700000,0.112
705000,0.1
710000,0.107
715000,0.139
720000,0.11
725000,0.381
730000,0.253
735000,0.142
740000,0.105
745000,0.099
750000,0.092
755000,0.084
760000,0.09
765000,0.093
770000,0.084
775000,0.086
780000,0.123
785000,0.079
790000,0.076
795000,0.076
800000,0.078
805000,0.075
810000,0.077
815000,0.077
820000,0.126
825000,0.086
830000,0.076
835000,0.072
840000,0.07
845000,0.065
850000,0.062
855000,0.059
860000,0.059
865000,0.054
870000,0.07
875000,0.096
880000,0.068
885000,0.085
890000,0.132
895000,0.057
900000,0.061
905000,0.053
910000,0.054
915000,0.052
920000,0.052
925000,0.05
930000,0.049
935000,0.086
940000,0.044
945000,0.043
950000,0.039
955000,0.043
960000,0.037
965000,0.053
970000,0.043
975000,0.032
980000,0.033
985000,0.029
990000,0.028
995000,0.028
1000000,0.024
1005000,0.036
1010000,0.023
1015000,0.02
1020000,0.021
1025000,0.017
1030000,0.015
1035000,0.013
1040000,0.018
1045000,0.011
